dA,dB,x,y
dA: 54.33  dB: 59.46  -> X: -11.99 cm, Y: 0.00 cm
dA: 53.29  dB: 60.51  -> X: -19.89 cm, Y: 0.00 cm
dA: 56.89  dB: 60.75  -> X: -7.65 cm, Y: 12.35 cm
dA: 54.26  dB: 60.05  -> X: -14.54 cm, Y: 0.00 cm
dA: 54.37  dB: 57.88  -> X: -5.65 cm, Y: 0.00 cm
dA: 53.69  dB: 60.13  -> X: -16.94 cm, Y: 0.00 cm
dA: 53.30  dB: 64.25  -> X: -35.42 cm, Y: 0.00 cm
dA: 52.98  dB: 64.79  -> X: -38.84 cm, Y: 0.00 cm
dA: 54.05  dB: 60.04  -> X: -15.31 cm, Y: 0.00 cm
dA: 54.93  dB: 58.88  -> X: -7.49 cm, Y: 0.00 cm
dA: 55.14  dB: 60.89  -> X: -14.77 cm, Y: 0.00 cm
dA: 59.19  dB: 59.85  -> X: 4.87 cm, Y: 21.33 cm
dA: 54.73  dB: 64.18  -> X: -29.93 cm, Y: 0.00 cm
dA: 55.70  dB: 62.15  -> X: -17.81 cm, Y: 0.00 cm
dA: 55.70  dB: 62.72  -> X: -20.19 cm, Y: 0.00 cm
dA: 56.12  dB: 64.50  -> X: -26.17 cm, Y: 0.00 cm
dA: 58.71  dB: 64.78  -> X: -17.49 cm, Y: 10.77 cm
dA: 59.93  dB: 61.41  -> X: 1.51 cm, Y: 23.76 cm
dA: 61.84  dB: 61.16  -> X: 10.29 cm, Y: 26.32 cm
dA: 64.30  dB: 62.29  -> X: 15.97 cm, Y: 29.22 cm
dA: 63.79  dB: 61.87  -> X: 15.52 cm, Y: 28.33 cm
dA: 64.16  dB: 61.87  -> X: 17.11 cm, Y: 28.26 cm
dA: 63.73  dB: 62.71  -> X: 11.79 cm, Y: 29.96 cm
dA: 63.77  dB: 63.47  -> X: 8.76 cm, Y: 31.06 cm
dA: 64.04  dB: 62.96  -> X: 12.07 cm, Y: 30.50 cm
dA: 64.07  dB: 64.18  -> X: 7.04 cm, Y: 32.09 cm
dA: 64.06  dB: 63.39  -> X: 10.34 cm, Y: 31.16 cm
dA: 64.06  dB: 63.81  -> X: 8.57 cm, Y: 31.71 cm
dA: 62.89  dB: 64.22  -> X: 1.86 cm, Y: 30.44 cm
dA: 64.06  dB: 64.32  -> X: 6.40 cm, Y: 32.22 cm
dA: 64.05  dB: 63.95  -> X: 7.94 cm, Y: 31.85 cm
dA: 64.02  dB: 64.84  -> X: 3.96 cm, Y: 32.52 cm
dA: 64.06  dB: 64.36  -> X: 6.18 cm, Y: 32.25 cm
dA: 63.91  dB: 64.35  -> X: 5.59 cm, Y: 32.06 cm
dA: 63.77  dB: 64.60  -> X: 3.95 cm, Y: 32.03 cm
dA: 63.50  dB: 64.55  -> X: 2.99 cm, Y: 31.59 cm
dA: 63.63  dB: 64.55  -> X: 3.57 cm, Y: 31.79 cm
dA: 64.06  dB: 64.70  -> X: 4.75 cm, Y: 32.49 cm
dA: 63.76  dB: 64.51  -> X: 4.32 cm, Y: 31.97 cm
dA: 64.02  dB: 64.50  -> X: 5.44 cm, Y: 32.31 cm
dA: 63.78  dB: 64.36  -> X: 5.01 cm, Y: 31.89 cm
dA: 63.92  dB: 64.54  -> X: 4.83 cm, Y: 32.21 cm
dA: 63.78  dB: 64.37  -> X: 4.96 cm, Y: 31.90 cm
dA: 63.63  dB: 64.56  -> X: 3.52 cm, Y: 31.80 cm
dA: 63.81  dB: 64.22  -> X: 5.74 cm, Y: 31.84 cm
dA: 63.92  dB: 64.37  -> X: 5.57 cm, Y: 32.09 cm
dA: 63.91  dB: 64.65  -> X: 4.34 cm, Y: 32.26 cm
dA: 64.06  dB: 64.51  -> X: 5.54 cm, Y: 32.36 cm
dA: 63.90  dB: 64.24  -> X: 6.06 cm, Y: 31.96 cm
dA: 64.02  dB: 64.23  -> X: 6.60 cm, Y: 32.08 cm
dA: 64.02  dB: 64.35  -> X: 6.06 cm, Y: 32.19 cm
dA: 64.06  dB: 64.09  -> X: 7.38 cm, Y: 32.01 cm
dA: 64.03  dB: 64.22  -> X: 6.69 cm, Y: 32.10 cm
dA: 64.06  dB: 64.22  -> X: 6.79 cm, Y: 32.12 cm
dA: 64.03  dB: 64.22  -> X: 6.69 cm, Y: 32.10 cm
dA: 64.03  dB: 64.08  -> X: 7.26 cm, Y: 31.97 cm
dA: 64.04  dB: 64.07  -> X: 7.35 cm, Y: 31.97 cm
dA: 64.06  dB: 63.94  -> X: 8.01 cm, Y: 31.85 cm
dA: 64.03  dB: 64.08  -> X: 7.28 cm, Y: 31.96 cm
dA: 64.16  dB: 63.94  -> X: 8.45 cm, Y: 31.93 cm
dA: 64.05  dB: 64.22  -> X: 6.77 cm, Y: 32.12 cm
dA: 64.32  dB: 64.08  -> X: 8.53 cm, Y: 32.25 cm
dA: 64.34  dB: 64.07  -> X: 8.65 cm, Y: 32.25 cm
dA: 64.48  dB: 64.08  -> X: 9.24 cm, Y: 32.37 cm
dA: 64.23  dB: 64.26  -> X: 7.35 cm, Y: 32.34 cm
dA: 64.12  dB: 64.08  -> X: 7.67 cm, Y: 32.05 cm
dA: 64.01  dB: 64.22  -> X: 6.60 cm, Y: 32.07 cm
dA: 64.05  dB: 64.22  -> X: 6.79 cm, Y: 32.11 cm
dA: 64.01  dB: 64.36  -> X: 5.98 cm, Y: 32.19 cm
dA: 64.06  dB: 64.37  -> X: 6.15 cm, Y: 32.25 cm
dA: 64.20  dB: 64.22  -> X: 7.45 cm, Y: 32.27 cm
dA: 64.06  dB: 64.22  -> X: 6.82 cm, Y: 32.13 cm
dA: 64.06  dB: 64.22  -> X: 6.79 cm, Y: 32.12 cm
dA: 64.02  dB: 64.22  -> X: 6.67 cm, Y: 32.08 cm
dA: 64.06  dB: 64.39  -> X: 6.06 cm, Y: 32.27 cm
dA: 64.04  dB: 64.36  -> X: 6.15 cm, Y: 32.23 cm
dA: 64.06  dB: 64.36  -> X: 6.23 cm, Y: 32.25 cm
dA: 64.05  dB: 64.36  -> X: 6.15 cm, Y: 32.24 cm
dA: 64.04  dB: 64.64  -> X: 4.93 cm, Y: 32.44 cm
dA: 64.04  dB: 64.55  -> X: 5.34 cm, Y: 32.37 cm
dA: 64.02  dB: 64.50  -> X: 5.42 cm, Y: 32.30 cm
dA: 63.90  dB: 64.26  -> X: 5.94 cm, Y: 31.97 cm
dA: 64.07  dB: 64.24  -> X: 6.77 cm, Y: 32.15 cm
dA: 63.92  dB: 64.23  -> X: 6.16 cm, Y: 31.98 cm
dA: 64.06  dB: 64.23  -> X: 6.79 cm, Y: 32.14 cm
dA: 63.93  dB: 64.37  -> X: 5.62 cm, Y: 32.10 cm
dA: 64.06  dB: 64.38  -> X: 6.13 cm, Y: 32.27 cm
dA: 64.05  dB: 64.51  -> X: 5.52 cm, Y: 32.36 cm
dA: 64.07  dB: 64.60  -> X: 5.24 cm, Y: 32.45 cm
dA: 64.18  dB: 64.19  -> X: 7.45 cm, Y: 32.22 cm
dA: 64.02  dB: 64.23  -> X: 6.62 cm, Y: 32.09 cm
dA: 64.18  dB: 64.10  -> X: 7.87 cm, Y: 32.13 cm
dA: 64.20  dB: 64.09  -> X: 7.99 cm, Y: 32.15 cm
dA: 64.21  dB: 63.95  -> X: 8.62 cm, Y: 31.99 cm
dA: 64.20  dB: 64.19  -> X: 7.55 cm, Y: 32.25 cm
dA: 64.13  dB: 64.27  -> X: 6.89 cm, Y: 32.25 cm
dA: 64.20  dB: 64.23  -> X: 7.38 cm, Y: 32.29 cm
dA: 64.27  dB: 64.36  -> X: 7.11 cm, Y: 32.48 cm
dA: 64.07  dB: 64.36  -> X: 6.25 cm, Y: 32.27 cm
dA: 64.07  dB: 64.37  -> X: 6.23 cm, Y: 32.27 cm
dA: 64.16  dB: 64.36  -> X: 6.62 cm, Y: 32.36 cm
dA: 64.20  dB: 64.36  -> X: 6.81 cm, Y: 32.41 cm
dA: 64.21  dB: 64.38  -> X: 6.76 cm, Y: 32.44 cm
dA: 64.49  dB: 64.37  -> X: 8.02 cm, Y: 32.71 cm
dA: 64.20  dB: 64.51  -> X: 6.18 cm, Y: 32.53 cm
dA: 64.20  dB: 64.36  -> X: 6.79 cm, Y: 32.41 cm
dA: 64.20  dB: 64.04  -> X: 8.18 cm, Y: 32.10 cm
dA: 64.12  dB: 64.37  -> X: 6.45 cm, Y: 32.33 cm
dA: 64.20  dB: 64.51  -> X: 6.18 cm, Y: 32.54 cm
dA: 64.20  dB: 64.26  -> X: 7.26 cm, Y: 32.31 cm
dA: 64.20  dB: 64.22  -> X: 7.40 cm, Y: 32.27 cm
dA: 64.03  dB: 64.23  -> X: 6.67 cm, Y: 32.10 cm
dA: 64.07  dB: 64.22  -> X: 6.84 cm, Y: 32.14 cm
dA: 63.92  dB: 64.23  -> X: 6.21 cm, Y: 31.98 cm
dA: 64.06  dB: 63.83  -> X: 8.47 cm, Y: 31.73 cm
dA: 63.88  dB: 63.91  -> X: 7.35 cm, Y: 31.64 cm
dA: 63.92  dB: 64.22  -> X: 6.21 cm, Y: 31.97 cm
dA: 64.18  dB: 64.23  -> X: 7.28 cm, Y: 32.26 cm
dA: 63.92  dB: 64.23  -> X: 6.18 cm, Y: 31.98 cm
dA: 64.20  dB: 64.50  -> X: 6.22 cm, Y: 32.53 cm
dA: 63.87  dB: 64.23  -> X: 5.96 cm, Y: 31.92 cm
dA: 64.06  dB: 64.22  -> X: 6.82 cm, Y: 32.13 cm
dA: 63.92  dB: 64.23  -> X: 6.18 cm, Y: 31.97 cm
dA: 63.92  dB: 64.23  -> X: 6.18 cm, Y: 31.97 cm
dA: 63.92  dB: 64.23  -> X: 6.16 cm, Y: 31.98 cm
dA: 63.78  dB: 64.51  -> X: 4.35 cm, Y: 31.99 cm
dA: 63.93  dB: 64.37  -> X: 5.62 cm, Y: 32.10 cm
dA: 63.92  dB: 64.51  -> X: 5.00 cm, Y: 32.19 cm
dA: 64.03  dB: 64.51  -> X: 5.44 cm, Y: 32.33 cm
dA: 64.07  dB: 63.95  -> X: 8.01 cm, Y: 31.86 cm
dA: 63.75  dB: 62.72  -> X: 11.84 cm, Y: 29.97 cm
dA: 63.92  dB: 63.11  -> X: 10.94 cm, Y: 30.69 cm
dA: 64.48  dB: 64.09  -> X: 9.19 cm, Y: 32.38 cm
dA: 64.34  dB: 64.37  -> X: 7.38 cm, Y: 32.56 cm
dA: 64.35  dB: 64.22  -> X: 8.04 cm, Y: 32.42 cm
dA: 64.33  dB: 64.23  -> X: 7.92 cm, Y: 32.41 cm
dA: 64.26  dB: 64.37  -> X: 7.01 cm, Y: 32.47 cm
dA: 63.96  dB: 64.52  -> X: 5.10 cm, Y: 32.24 cm
dA: 64.06  dB: 64.51  -> X: 5.54 cm, Y: 32.36 cm
dA: 64.20  dB: 64.22  -> X: 7.40 cm, Y: 32.27 cm
dA: 64.03  dB: 64.22  -> X: 6.69 cm, Y: 32.10 cm
dA: 64.03  dB: 64.23  -> X: 6.67 cm, Y: 32.10 cm
dA: 64.06  dB: 64.23  -> X: 6.77 cm, Y: 32.13 cm
dA: 62.40  dB: 64.12  -> X: 0.24 cm, Y: 29.47 cm
dA: 62.23  dB: 64.11  -> X: -0.42 cm, Y: 29.11 cm
dA: 61.97  dB: 63.15  -> X: 2.61 cm, Y: 28.44 cm
dA: 62.69  dB: 64.37  -> X: 0.38 cm, Y: 30.08 cm
dA: 63.74  dB: 64.10  -> X: 5.97 cm, Y: 31.65 cm
dA: 62.22  dB: 63.81  -> X: 0.82 cm, Y: 29.08 cm
dA: 62.03  dB: 63.96  -> X: -0.61 cm, Y: 28.67 cm
dA: 62.37  dB: 63.95  -> X: 0.86 cm, Y: 29.41 cm
dA: 63.92  dB: 64.23  -> X: 6.18 cm, Y: 31.98 cm
dA: 64.20  dB: 64.28  -> X: 7.13 cm, Y: 32.33 cm
dA: 64.20  dB: 64.39  -> X: 6.67 cm, Y: 32.43 cm
dA: 64.39  dB: 64.66  -> X: 6.34 cm, Y: 32.87 cm
dA: 64.06  dB: 64.37  -> X: 6.15 cm, Y: 32.25 cm
dA: 63.92  dB: 64.37  -> X: 5.57 cm, Y: 32.09 cm
dA: 63.87  dB: 64.37  -> X: 5.35 cm, Y: 32.02 cm
dA: 63.21  dB: 64.22  -> X: 3.20 cm, Y: 30.99 cm
dA: 64.19  dB: 64.23  -> X: 7.35 cm, Y: 32.27 cm
dA: 63.83  dB: 64.09  -> X: 6.38 cm, Y: 31.75 cm
dA: 63.88  dB: 64.23  -> X: 6.01 cm, Y: 31.93 cm
dA: 64.24  dB: 64.50  -> X: 6.40 cm, Y: 32.58 cm
dA: 64.30  dB: 64.23  -> X: 7.79 cm, Y: 32.39 cm
dA: 64.34  dB: 63.42  -> X: 11.42 cm, Y: 31.37 cm
dA: 64.20  dB: 61.36  -> X: 19.39 cm, Y: 26.84 cm
dA: 64.20  dB: 62.55  -> X: 14.50 cm, Y: 29.78 cm
dA: 63.92  dB: 63.11  -> X: 10.94 cm, Y: 30.67 cm
dA: 64.20  dB: 62.17  -> X: 16.05 cm, Y: 28.96 cm
dA: 64.35  dB: 63.98  -> X: 9.09 cm, Y: 32.15 cm
dA: 63.92  dB: 64.43  -> X: 5.32 cm, Y: 32.13 cm
dA: 63.50  dB: 64.62  -> X: 2.69 cm, Y: 31.61 cm
dA: 62.16  dB: 64.61  -> X: -2.86 cm, Y: 28.82 cm
dA: 62.30  dB: 64.65  -> X: -2.44 cm, Y: 29.16 cm
dA: 63.77  dB: 64.23  -> X: 5.55 cm, Y: 31.79 cm
dA: 63.64  dB: 64.05  -> X: 5.75 cm, Y: 31.49 cm
dA: 63.78  dB: 64.12  -> X: 6.01 cm, Y: 31.72 cm
dA: 63.78  dB: 63.68  -> X: 7.89 cm, Y: 31.31 cm
dA: 63.76  dB: 62.17  -> X: 14.17 cm, Y: 28.97 cm
dA: 63.64  dB: 64.24  -> X: 4.94 cm, Y: 31.63 cm
dA: 63.63  dB: 63.15  -> X: 9.53 cm, Y: 30.55 cm
dA: 63.64  dB: 64.37  -> X: 4.38 cm, Y: 31.71 cm
dA: 64.04  dB: 60.65  -> X: 21.57 cm, Y: 24.71 cm
dA: 63.91  dB: 60.57  -> X: 21.35 cm, Y: 24.57 cm
dA: 64.19  dB: 63.95  -> X: 8.53 cm, Y: 31.98 cm
dA: 64.04  dB: 58.36  -> X: 30.66 cm, Y: 11.65 cm
dA: 63.78  dB: 58.50  -> X: 28.98 cm, Y: 14.22 cm
dA: 63.06  dB: 64.10  -> X: 3.11 cm, Y: 30.69 cm
dA: 64.16  dB: 64.51  -> X: 5.98 cm, Y: 32.49 cm
dA: 64.47  dB: 64.41  -> X: 7.75 cm, Y: 32.73 cm
dA: 64.35  dB: 64.47  -> X: 6.98 cm, Y: 32.66 cm
dA: 64.05  dB: 64.23  -> X: 6.72 cm, Y: 32.13 cm
dA: 64.19  dB: 64.23  -> X: 7.35 cm, Y: 32.27 cm
dA: 64.06  dB: 64.09  -> X: 7.38 cm, Y: 32.01 cm
dA: 64.03  dB: 64.23  -> X: 6.62 cm, Y: 32.10 cm
dA: 64.16  dB: 63.80  -> X: 9.01 cm, Y: 31.78 cm
dA: 64.16  dB: 64.10  -> X: 7.77 cm, Y: 32.11 cm
dA: 64.20  dB: 64.20  -> X: 7.50 cm, Y: 32.25 cm
dA: 64.02  dB: 61.27  -> X: 19.01 cm, Y: 26.69 cm
dA: 63.92  dB: 58.45  -> X: 29.82 cm, Y: 13.12 cm
dA: 62.88  dB: 62.02  -> X: 11.07 cm, Y: 28.39 cm
dA: 62.36  dB: 57.10  -> X: 28.44 cm, Y: 7.38 cm
dA: 64.23  dB: 64.36  -> X: 6.94 cm, Y: 32.45 cm
dA: 61.59  dB: 64.24  -> X: -3.60 cm, Y: 27.49 cm
dA: 64.15  dB: 64.13  -> X: 7.57 cm, Y: 32.13 cm
dA: 64.15  dB: 64.38  -> X: 6.54 cm, Y: 32.37 cm
dA: 63.63  dB: 64.38  -> X: 4.30 cm, Y: 31.70 cm
dA: 63.91  dB: 64.37  -> X: 5.54 cm, Y: 32.08 cm
dA: 63.72  dB: 64.36  -> X: 4.77 cm, Y: 31.83 cm
dA: 64.15  dB: 64.37  -> X: 6.57 cm, Y: 32.36 cm
dA: 64.34  dB: 64.51  -> X: 6.79 cm, Y: 32.69 cm
dA: 64.48  dB: 64.36  -> X: 8.02 cm, Y: 32.69 cm
dA: 64.30  dB: 64.23  -> X: 7.79 cm, Y: 32.38 cm
dA: 64.06  dB: 63.99  -> X: 7.77 cm, Y: 31.90 cm
dA: 63.27  dB: 64.10  -> X: 3.98 cm, Y: 31.01 cm
dA: 62.60  dB: 64.36  -> X: 0.02 cm, Y: 29.89 cm
dA: 64.16  dB: 64.23  -> X: 7.18 cm, Y: 32.24 cm
dA: 57.20  dB: 62.35  -> X: -13.02 cm, Y: 8.76 cm
dA: 60.27  dB: 60.15  -> X: 7.98 cm, Y: 23.31 cm
dA: 61.25  dB: 64.33  -> X: -5.37 cm, Y: 26.42 cm
dA: 59.13  dB: 64.36  -> X: -14.03 cm, Y: 16.58 cm
dA: 64.15  dB: 64.36  -> X: 6.57 cm, Y: 32.35 cm
dA: 64.16  dB: 64.38  -> X: 6.57 cm, Y: 32.37 cm
dA: 64.48  dB: 64.34  -> X: 8.11 cm, Y: 32.67 cm
dA: 64.34  dB: 64.38  -> X: 7.30 cm, Y: 32.57 cm
dA: 58.88  dB: 64.09  -> X: -13.87 cm, Y: 15.78 cm
dA: 59.68  dB: 64.10  -> X: -10.73 cm, Y: 20.52 cm
dA: 61.04  dB: 55.67  -> X: 28.36 cm, Y: 0.00 cm
dA: 53.08  dB: 64.08  -> X: -35.43 cm, Y: 0.00 cm
dA: 53.31  dB: 55.50  -> X: -0.42 cm, Y: 0.00 cm
dA: 55.69  dB: 53.46  -> X: 15.61 cm, Y: 0.00 cm
dA: 58.06  dB: 49.86  -> X: 36.99 cm, Y: 0.00 cm
dA: 56.30  dB: 50.94  -> X: 26.65 cm, Y: 0.00 cm
dA: 56.65  dB: 62.31  -> X: -14.94 cm, Y: 0.00 cm
dA: 55.59  dB: 64.37  -> X: -27.59 cm, Y: 0.00 cm
dA: 55.70  dB: 64.62  -> X: -28.27 cm, Y: 0.00 cm
dA: 61.13  dB: 64.65  -> X: -7.24 cm, Y: 25.69 cm
dA: 58.53  dB: 64.65  -> X: -17.64 cm, Y: 9.45 cm
dA: 55.50  dB: 64.55  -> X: -28.71 cm, Y: 0.00 cm
dA: 55.87  dB: 64.19  -> X: -25.77 cm, Y: 0.00 cm
dA: 58.35  dB: 61.12  -> X: -3.54 cm, Y: 19.16 cm
dA: 55.29  dB: 54.59  -> X: 10.03 cm, Y: 0.00 cm
dA: 52.70  dB: 54.88  -> X: -0.31 cm, Y: 0.00 cm
dA: 61.48  dB: 49.52  -> X: 51.73 cm, Y: 0.00 cm
dA: 59.78  dB: 49.87  -> X: 43.75 cm, Y: 0.00 cm
dA: 61.02  dB: 52.39  -> X: 40.13 cm, Y: 0.00 cm
dA: 61.88  dB: 51.24  -> X: 47.59 cm, Y: 0.00 cm
dA: 55.70  dB: 56.53  -> X: 4.42 cm, Y: 7.64 cm
dA: 64.15  dB: 55.01  -> X: 43.81 cm, Y: 0.00 cm
dA: 64.00  dB: 54.74  -> X: 44.16 cm, Y: 0.00 cm
dA: 63.87  dB: 54.70  -> X: 43.76 cm, Y: 0.00 cm
dA: 64.15  dB: 54.70  -> X: 44.94 cm, Y: 0.00 cm
dA: 63.87  dB: 57.29  -> X: 34.07 cm, Y: 0.00 cm
dA: 63.96  dB: 55.44  -> X: 41.42 cm, Y: 0.00 cm
dA: 63.91  dB: 56.70  -> X: 36.50 cm, Y: 0.00 cm
dA: 61.96  dB: 55.40  -> X: 33.17 cm, Y: 0.00 cm
dA: 62.07  dB: 55.72  -> X: 32.41 cm, Y: 0.00 cm
dA: 61.64  dB: 55.12  -> X: 32.86 cm, Y: 0.00 cm
dA: 63.77  dB: 54.88  -> X: 42.66 cm, Y: 0.00 cm
dA: 61.45  dB: 54.95  -> X: 32.74 cm, Y: 0.00 cm
dA: 63.87  dB: 55.55  -> X: 40.63 cm, Y: 0.00 cm
dA: 63.63  dB: 56.29  -> X: 36.84 cm, Y: 0.00 cm
dA: 63.73  dB: 56.27  -> X: 37.32 cm, Y: 0.00 cm
dA: 63.59  dB: 55.58  -> X: 39.31 cm, Y: 0.00 cm
dA: 63.63  dB: 55.72  -> X: 38.98 cm, Y: 0.00 cm
dA: 63.61  dB: 55.54  -> X: 39.54 cm, Y: 0.00 cm
dA: 63.48  dB: 55.54  -> X: 38.98 cm, Y: 0.00 cm
dA: 63.47  dB: 55.40  -> X: 39.48 cm, Y: 0.00 cm
dA: 63.52  dB: 55.68  -> X: 38.66 cm, Y: 0.00 cm
dA: 63.73  dB: 55.50  -> X: 40.22 cm, Y: 0.00 cm
dA: 63.60  dB: 55.69  -> X: 38.98 cm, Y: 0.00 cm
dA: 63.78  dB: 55.69  -> X: 39.69 cm, Y: 0.00 cm
dA: 63.72  dB: 55.44  -> X: 40.40 cm, Y: 0.00 cm
dA: 64.02  dB: 55.43  -> X: 41.69 cm, Y: 0.00 cm
dA: 63.76  dB: 55.12  -> X: 41.75 cm, Y: 0.00 cm
dA: 63.76  dB: 55.27  -> X: 41.18 cm, Y: 0.00 cm
dA: 63.50  dB: 54.88  -> X: 41.49 cm, Y: 0.00 cm
